model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.002,15000,Tanh(),2,1,1900,mlp_n_2_b_1_seed_1900,0.0003306214639451355,6.480180740356445,9,42.63253951072693,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1900.json,0.00042606471106410027,0.0004255767751601525
MLP,mlp,0.002,15000,Tanh(),2,1,1905,mlp_n_2_b_1_seed_1905,0.00027298455825075507,5.350497245788574,9,15.260072946548462,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1905.json,0.00035122031113132834,0.00035193347983295095
MLP,mlp,0.002,15000,Tanh(),2,1,1924,mlp_n_2_b_1_seed_1924,0.0003009198990184814,5.898029804229736,9,39.755847692489624,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1924.json,0.00038751785177737474,0.0003889975292258896
MLP,mlp,0.002,15000,Tanh(),2,1,1925,mlp_n_2_b_1_seed_1925,0.0002601088781375438,5.098135471343994,9,15.178614377975464,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1925.json,0.00033752535819076,0.0003404412031522952
MLP,mlp,0.002,15000,Tanh(),2,1,1926,mlp_n_2_b_1_seed_1926,7.031364657450467e-05,1.3781474828720093,9,15.11861538887024,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1926.json,0.00010200592805631459,0.00010229527732008136
MLP,mlp,0.002,15000,Tanh(),2,2,1900,mlp_n_2_b_2_seed_1900,0.00021511668455787003,4.216287136077881,15,19.7740797996521,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1900.json,0.00028380993171595037,0.0002846324947313406
MLP,mlp,0.002,15000,Tanh(),2,2,1905,mlp_n_2_b_2_seed_1905,1.395248000335414e-05,0.27346858382225037,15,19.754207372665405,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1905.json,1.9912837160518393e-05,2.0260493365640286e-05
MLP,mlp,0.002,15000,Tanh(),2,2,1924,mlp_n_2_b_2_seed_1924,2.721225428103935e-05,0.5333601236343384,15,19.7597439289093,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1924.json,4.155048372922465e-05,4.1884329366439485e-05
MLP,mlp,0.002,15000,Tanh(),2,2,1925,mlp_n_2_b_2_seed_1925,6.877230043755844e-05,1.3479371070861816,15,19.740944862365723,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1925.json,9.021552978083491e-05,9.166241790808271e-05
MLP,mlp,0.002,15000,Tanh(),2,2,1926,mlp_n_2_b_2_seed_1926,0.00011390354484319687,2.2325096130371094,15,33.647605895996094,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1926.json,0.00015626206004526466,0.0001585089328000322
MLP,mlp,0.002,15000,Tanh(),2,3,1900,mlp_n_2_b_3_seed_1900,0.00021700335491914302,4.253266334533691,21,24.43793487548828,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1900.json,0.00028575150645338,0.00028787020448362455
MLP,mlp,0.002,15000,Tanh(),2,3,1905,mlp_n_2_b_3_seed_1905,8.395400072913617e-06,0.1645498126745224,21,24.438673734664917,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1905.json,9.88100600807229e-06,1.0582498298390419e-05
MLP,mlp,0.002,15000,Tanh(),2,3,1924,mlp_n_2_b_3_seed_1924,6.955302524147555e-06,0.13632391393184662,21,24.463801860809326,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1924.json,6.244259111554129e-06,7.351400745392311e-06
MLP,mlp,0.002,15000,Tanh(),2,3,1925,mlp_n_2_b_3_seed_1925,4.664621428673854e-06,0.09142658859491348,21,61.61287188529968,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1925.json,5.5644427447987255e-06,5.6251595788126e-06
MLP,mlp,0.002,15000,Tanh(),2,3,1926,mlp_n_2_b_3_seed_1926,1.4078384992899373e-05,0.2759363353252411,21,71.81597232818604,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1926.json,2.0103003407712094e-05,2.0313817094574917e-05
